artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
RIIZE Siren,113134,105,83,80.0,0.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
RIIZE Lucky,113134,113,86,78.0,4.0,-0.5,0.87,1,1,0,0,0,0,0,0,0,0
RIIZE Combo,113134,140,84,57.0,0.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
박찬영 떠나보자,1885,110,55,43.0,24.0,0.5,0.87,1,0,0,0,0,0,0,1,0,0
혁오 Glue,111460,174,64,64.0,59.0,-0.87,0.5,0,0,0,0,1,0,0,0,0,0
옥상달빛 다이빙,31548,132,63,60.0,3.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,0
비비지 Shhh!,19445,105,81,79.0,10.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
오마이걸 Classified,119562,140,75,62.0,25.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
전상근 너를 사랑했던 시절,16150,136,58,37.0,72.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
전상근 잠꼬대,16150,123,33,45.0,86.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
마크툽 날 그만 잊어요,39989,130,45,42.0,86.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
진 Running Wild,128511,147,71,49.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
BABYMONSTER CLIK CLIK,21018,135,59,94.0,1.0,-0.87,0.5,1,0,0,1,0,0,0,0,0,0
BABYMONSTER FOREVER,21018,130,70,84.0,10.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
윤마치 노스탤지어,6637,106,73,67.0,55.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,0
다린 dog-ear serenade,16163,144,44,64.0,83.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
적재 나의 시,47287,120,42,55.0,46.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
엔플라잉 네가 내 마음에 자리 잡았다,50972,106,84,73.0,13.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
wave to earth play with earth!,36891,115,61,63.0,4.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0
더 폴스 Space kids,6056,104,53,56.0,4.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
